FID,Shape_Leng,Shape_Area,Count_,Count_1,landslide,prob
6688,4200,284375,0,0,0,0.101105
6689,1450,66250,0,0,0,0.0681559
6690,2550,150000,0,0,0,0.0419771
6691,4050,185625,0,0,0,0.0538576
6692,2950,145000,0,0,0,0.0284368
6693,5200,339375,0,0,0,0.271519
6694,4250,206250,0,0,0,0.136953
6695,5050,335625,0,0,0,0.265651
6696,950,26250,0,0,0,0.0224366
6697,2950,272500,0,0,0,0.277656
6698,2700,241875,0,0,0,0.0919617
6699,3400,288750,0,0,0,0.0160147
6700,1500,62500,0,0,0,0.0536317
6701,3750,280000,0,0,0,0.0651888
6702,3800,342500,0,0,0,0.029546
6703,3850,241250,0,0,0,0.1559
6704,2300,106250,0,0,0,0.0672462
6705,3200,309375,0,0,0,0.173337
6706,2500,102500,0,0,0,0.174412
6707,2950,191250,0,0,0,0.020204
6708,3350,212500,0,0,0,0.189667
6709,2150,125625,0,0,0,0.019321
6710,4250,363750,0,0,0,0.0199738
6711,1900,90625,0,0,0,0.0298538
6712,4800,335625,0,0,0,0.303928
6713,4800,336875,0,0,0,0.101982
6714,3200,170000,0,0,0,0.0782741
6715,5250,385000,0,0,0,0.250466
6716,1950,85625,0,0,0,0.0239789
6717,4350,455000,0,0,0,0.695221
6718,2000,128125,0,0,0,0.0201674
6719,4300,420625,0,0,0,0.628899
6720,4950,315625,0,0,0,0.0833361
6721,4600,325000,0,0,0,0.105614
6722,2900,180625,0,0,0,0.0114241
6723,1600,72500,0,0,0,0.0584603
6724,4850,473125,0,0,0,0.0694647
6725,4850,343125,0,0,0,0.141598
6726,1550,58125,0,0,0,0.0684674
6727,3550,171875,0,0,0,0.0390421
6728,3450,226250,0,0,0,0.154187
6729,4050,338125,0,0,0,0.654246
6730,3350,158125,0,0,0,0.289176
6731,700,22500,0,0,0,0.0101393
6732,1200,51875,0,0,0,0.00372341
6733,2550,184375,0,0,0,0.205898
6734,3500,233750,0,0,0,0.0648392
6735,2350,123750,0,0,0,0.0495357
6736,3700,193750,0,0,0,0.38995
6737,4300,261250,0,0,0,0.215853
6738,1850,110000,0,0,0,0.065531
6739,3400,218125,0,0,0,0.33137
