,altitude,aspect,fault,ndvi,plan,profile,rainfall,river,road,slope,spi,sti,twi,soil_envi,landuse_envi,lithology_envi,len_x,len_y,Shape_Leng,Shape_Area
0,837.4705882,124.6531309,11043.9601,0.165918431,-0.015331276,-0.006870527,995.158734,472.9733056,2221.387496,29.16675049,29.56224732,14.74325168,4.576225209,3,5,4,25,22,2550,85000
1,745.9435484,117.8226437,10190.06598,0.145842129,-0.030201277,-0.001687995,994.1293213,577.2716554,1049.538081,29.0927877,29.20376515,14.72047955,4.575774893,2,5,4,49,51,5050,403750
2,731.4194529,168.5254157,10154.18662,0.19206796,-0.057775023,-0.067179681,994.2228564,494.3874776,953.3679365,30.57864998,31.87546383,15.56171256,4.542590504,2,5,4,50,49,5050,576875
3,373.325,159.986627,9226.176465,0.26788148,0.013783899,-0.052563997,993.0505112,104.094562,58.05753937,21.49235708,20.62202702,10.32285723,4.946947736,2,4,4,14,9,1200,55000
4,381.1870968,285.2785091,8492.162437,0.235799598,0.155035666,0.115619613,993.569471,197.4624587,1364.873468,25.710783,24.93643791,12.74854137,4.711432065,2,4,4,25,15,2150,130000
5,346.6447368,54.23329878,7592.361816,0.263296558,0.075692851,0.007328483,994.1007899,158.9996676,1429.217043,27.86376794,28.64876944,13.96272976,4.650757415,2,4,11,12,17,1500,95000
6,920.8525346,188.8239773,11068.35177,0.166957175,-0.02705211,-0.032104023,995.1896275,708.1414157,2273.812444,27.83736246,28.33430611,13.97761915,4.65628066,3,5,4,44,46,5050,651875
7,396.375,131.9644368,9310.749451,0.267134222,0.154775111,0.184775115,992.9391117,78.24747442,173.4857819,22.10255503,21.23164524,10.69933183,4.92556005,2,4,11,9,14,1150,40000
8,377.597561,146.3535995,8102.890506,0.288529421,0.091215434,0.043702299,993.9692669,380.1438253,1936.745615,19.6758672,18.47229295,9.363373939,5.103651306,2,4,11,30,22,2950,148750
9,326.5822785,269.9656385,7456.364468,0.239730952,0.034945207,0.168132009,994.4599806,119.8432166,1164.739945,26.07931561,27.46665905,13.02056951,4.835074473,2,4,11,22,22,2300,142500
10,427.6847826,103.6837847,7811.055452,0.266024117,0.034791439,0.056984044,993.7483605,310.6957081,1804.030727,27.50789294,27.34935804,13.82210983,4.661774226,2,4,11,33,21,2850,253125
11,408.2903226,265.9613758,9094.302944,0.28198181,0.065003404,0.133820614,992.6437384,92.00667381,72.82886157,27.1966431,27.69893812,13.61897797,4.695063837,2,4,11,10,13,1150,58125
12,413.7575758,256.1959738,9001.506629,0.257176884,0.183471687,0.152758156,992.6996825,133.5101333,179.2762997,27.13789698,28.36737793,13.68307392,4.815816742,2,4,11,16,16,1650,82500
13,778.390579,136.5108748,10495.73118,0.202993535,-0.063807295,-0.033454318,994.2765168,514.2676208,1646.072051,30.62783107,31.43849918,15.59073223,4.514720759,2,5,4,63,32,5650,736250
14,718.661157,214.190353,10247.66047,0.150231716,0.044843125,-0.009616951,993.9618224,456.1381562,1331.049815,31.2293751,32.0774651,15.92405463,4.473016767,2,5,11,58,18,4250,302500
15,513.1398678,152.3784341,9718.034412,0.169550692,0.060929765,0.041625643,993.225008,297.5918692,769.3541085,28.62491216,29.44675213,14.37919454,4.633370728,2,5,11,40,40,4150,567500
16,958.8953437,156.455727,11367.32763,0.15261738,-0.003008277,-0.010509261,995.9598126,668.5902174,2319.941243,29.25670916,29.84219536,14.80329633,4.58344099,3,5,4,57,83,7550,1542500
17,592.9299065,85.87428804,10369.94064,0.136941241,0.018430914,0.045088425,993.9893554,93.85068437,1452.457467,23.96873988,22.91306308,11.7250477,4.789296097,3,5,4,18,30,2500,133750
18,458.1790281,249.319553,8804.815362,0.269316023,0.054516528,0.056957018,992.8114893,268.0050046,469.3987398,26.08987402,26.24259769,13.06699872,4.797852767,2,4,4,37,27,3300,281875
19,519.6909091,209.2332171,7924.898087,0.252004341,-0.079632225,-0.066928674,993.2089939,561.3480581,1853.976965,24.38614205,23.52503616,12.01432162,4.800116389,2,4,11,49,18,4300,244375
20,492.3881748,100.2204634,8151.037491,0.209740537,0.078885135,0.056927774,993.2688776,490.3372893,1630.494716,23.52268167,23.19920492,11.5956883,4.924755787,2,5,11,53,18,4350,288750
21,628.1103448,210.9536519,10268.94145,0.192485141,0.032030292,0.031514863,993.7993419,272.539762,1478.379595,29.16747932,29.51071576,14.76494055,4.582279515,2,5,4,38,25,3250,271875
