FID,Shape_Leng,Shape_Area,Count_,landslide,prob
9358,2650,91250,0,0,0.261881
9359,5450,691250,0,0,0.40929
9360,5150,312500,0,0,0.738754
9361,5050,273750,0,0,0.7852
9362,5200,396875,0,0,0.579273
9363,5450,438750,0,0,0.32745
9364,2600,148125,0,0,0.26609
9365,4050,288125,0,0,0.554279
9366,2150,118125,0,0,0.595007
9367,1350,47500,0,0,0.629167
9368,1700,59375,0,0,0.181844
9369,1800,58125,0,0,0.15721
9370,1600,98125,0,0,0.192165
9371,2100,98125,0,0,0.139828
9372,1950,101250,0,0,0.15095
9373,4100,284375,0,0,0.750064
9374,3300,275000,0,0,0.58421
9375,5400,578125,0,0,0.409603
9376,6200,608125,0,0,0.526295
9377,5500,303750,0,0,0.63133
9378,6500,544375,2,1,0.727008
9379,2250,134375,0,0,0.35536
9380,3600,131875,0,0,0.816846
9381,1750,66875,0,0,0.187583
9382,1500,67500,0,0,0.547281
9383,2900,123750,0,0,0.195316
9384,1850,94375,0,0,0.195083
9385,3350,200000,0,0,0.431454
9386,4250,288125,0,0,0.274395
9387,1800,66250,0,0,0.576403
9388,2600,156875,0,0,0.689042
9389,5650,652500,0,0,0.587254
9390,6250,626875,0,0,0.449773
9391,700,17500,0,0,0.172294
9392,4200,226250,0,0,0.77155
9393,1900,111250,0,0,0.459892
9394,4550,251250,0,0,0.58109
9395,3000,219375,0,0,0.553826
9396,5150,706250,0,0,0.579525
9397,4400,381250,0,0,0.130078
9398,3250,259375,0,0,0.73961
9399,2850,279375,0,0,0.241813
9400,750,18125,0,0,0.135763
9401,2950,249375,0,0,0.457294
9402,5100,667500,0,0,0.463828
9403,2700,166875,0,0,0.61204
9404,3600,365625,0,0,0.152481
9405,5400,326250,0,0,0.342729
9406,3300,213125,0,0,0.597078
9407,3100,253750,0,0,0.518256
9408,1600,88750,0,0,0.0402851
9409,4600,216875,0,0,0.33089
9410,4600,495625,0,0,0.575538
9411,5400,413750,0,0,0.78607
9412,3100,248750,0,0,0.246259
9413,3300,156250,0,0,0.381613
9414,3400,308750,0,0,0.42134
9415,1450,80625,0,0,0.668173
